OBJECTID,IDTRAMO,FECHAACTUAL,MODO,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION,CODIGOPROVINCIA,CODIGOMUNICIPIO,MUNICIPIO,CORONATARIFARIA,DIRECCION,FECHAALTA,FECHAINICIO,FECHAFIN,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE,IDFLINEA,Shape__Length
549,4_359793_290__782_I,20240628,4,359793,072,7b,2,1,290,,782,5,TI,I,SAN FERNANDO,28,130,SAN FERNANDO DE HENARES,B1,Calle de Gonzalo de Córdoba N 24,20170622,20170626,,1107.1723,33.38,4,93,332,,,4__7_B____2_IT_1_4_290__782_TI_I_5,,,,4__7_B__,1107.17793819046
550,4_359792_291__783_I,20240628,4,359792,072,7b,1,1,291,,783,3,TI,I,JARAMA,28,130,SAN FERNANDO DE HENARES,B1,Plaza   Guernica N 1,20170622,20170626,,921.2163,33.38,4,93,239,,,4__7_B____1_IT_1_4_291__783_TI_I_3,,,,4__7_B__,921.220904330511
551,4_359793_291__784_I,20240628,4,359793,072,7b,2,1,291,,784,6,TI,I,JARAMA,28,130,SAN FERNANDO DE HENARES,B1,Plaza   Guernica N 1,20170622,20170626,,1080.0464,33.38,4,93,239,,,4__7_B____2_IT_1_4_291__784_TI_I_6,,,,4__7_B__,1080.05136231196
552,4_359792_292__785_I,20240628,4,359792,072,7b,1,1,292,,785,2,TI,I,HENARES,28,130,SAN FERNANDO DE HENARES,B1,Avda de Algorta N 12,20170622,20170626,,686.9297,33.38,4,93,226,,,4__7_B____1_IT_1_4_292__785_TI_I_2,,,,4__7_B__,686.933160210346
553,4_359793_292__786_I,20240628,4,359793,072,7b,2,1,292,,786,7,TI,I,HENARES,28,130,SAN FERNANDO DE HENARES,B1,Avda de Algorta N 12,20170622,20170626,,928.9609,33.38,4,93,226,,,4__7_B____2_IT_1_4_292__786_TI_I_7,,,,4__7_B__,928.965456886063
554,4_336284_282__763_I,20240628,4,336284,102,10b,1,1,282,,763,3,TI,I,BAUNATAL,28,134,SAN SEBASTIAN DE LOS REYES,B1,Avda de las Lomas del Rey N 2,20070425,20070426,,1085.92207768013,37.18,4,93,159,,,4__10_B____1_IT_1_4_282__763_TI_I_3,,,,4__10_B__,1085.92324034825
555,4_336285_282__764_I,20240628,4,336285,102,10b,2,1,282,,764,9,TI,I,BAUNATAL,28,134,SAN SEBASTIAN DE LOS REYES,B1,Avda de las Lomas del Rey N 2,20070425,20070426,,1112.44786208803,37.18,4,93,159,,,4__10_B____2_IT_1_4_282__764_TI_I_9,,,,4__10_B__,1112.44299602646
556,4_336284_283__765_I,20240628,4,336284,102,10b,1,1,283,,765,2,TI,I,REYES CATOLICOS,28,134,SAN SEBASTIAN DE LOS REYES,B1,Avda de la Plaza de Toros N 7,20070425,20070426,,1556.36005210617,37.18,4,93,315,,,4__10_B____1_IT_1_4_283__765_TI_I_2,,,,4__10_B__,1556.35915279206
557,4_336285_283__766_I,20240628,4,336285,102,10b,2,1,283,,766,10,TI,I,REYES CATOLICOS,28,134,SAN SEBASTIAN DE LOS REYES,B1,Avda de la Plaza de Toros N 7,20070425,20070426,,1086.7442615135,37.18,4,93,315,,,4__10_B____2_IT_1_4_283__766_TI_I_10,,,,4__10_B__,1086.74547002254
558,4_336285_284__768_C,20240628,4,336285,102,10b,2,1,284,,768,11,TI,C,HOSPITAL INFANTA SOFIA,28,134,SAN SEBASTIAN DE LOS REYES,B1,Paseo   Europa N 11,20070425,20070426,,1548.46471267871,37.18,4,93,233,,,4__10_B____2_IT_1_4_284__768_TI_C_11,,,,4__10_B__,1548.46367383941
